A2M
AASDHPPT
AASS
AATF
ABAT
ABCA2
ABCA3
ABCA7
ABCA9
ABCB1
ABCC1
ABCC3
ABHD5
ABL2
ABLIM1
ACAA1
ACACA
ACADM
ACADS
ACADSB
ACADVL
ACAT1
ACD
ACIN1
ACLY
ACO2
ACP5
ACSL3
ACSL5
ACSS1
ACTB
ACTR1A
ACTR1B
ACVR1C
ADAM17
ADCY4
ADCY7
ADD1
ADK
ADRB2
ADRBK1
ADSS
AGL
AGPAT1
AGPAT2
AGPAT3
AGPAT5
AGPS
AHCTF1
AHCY
AIM2
AK1
AK2
AKAP1
AKAP10
AKAP13
AKAP5
AKAP9
AKR1B1
AKR1D1
AKT1
AKT1S1
AKT3
ALCAM
ALDH18A1
ALDH5A1
ALDH9A1
ALG1
ALG13
ALG2
ALG3
ALG6
ALG8
ALKBH2
ALKBH3
AMD1
AMN
AMPD2
AMPD3
AMY2B
ANAPC1
ANAPC11
ANAPC13
ANAPC5
ANAPC7
ANGPT2
ANGPTL4
ANP32A
ANXA1
AP1G1
AP1S1
AP1S2
AP2B1
AP2M1
AP2S1
AP3B1
AP3M1
AP3S1
AP4B1
AP4E1
APAF1
APBB1IP
APC
APH1B
APITD1
APOBEC3G
APOE
APPL1
APRT
AQP3
ARAP2
ARCN1
ARF3
ARFGAP1
ARFGEF2
ARHGAP1
ARHGAP11B
ARHGAP12
ARHGAP15
ARHGAP18
ARHGAP25
ARHGAP26
ARHGAP30
ARHGAP31
ARHGAP35
ARHGAP4
ARHGDIA
ARHGDIB
ARHGEF1
ARHGEF3
ARHGEF4
ARHGEF6
ARHGEF9
ARIH2
ARNTL
ARRB1
ARRB2
ASAH1
ASB1
ASB2
ASB4
ASB6
ASB7
ASL
ASNS
ASS1
ATF1
ATF2
ATF3
ATF4
ATG12
ATG7
ATIC
ATM
ATP11B
ATP1A1
ATP2A3
ATP2C1
ATP5B
ATP5C1
ATP5D
ATP5F1
ATP5J
ATP5J2
ATP5O
ATP6V0D1
ATP6V1C1
ATP6V1H
ATP8A1
ATP9A
ATP9B
ATR
ATRIP
AUH
AXIN1
AZIN1
B2M
B3GALT6
B3GAT3
B3GNT2
B3GNT6
B4GALT3
B4GALT4
B4GALT5
BAX
BCAP31
BCAT2
BCKDHA
BCKDHB
BCL10
BCL2
BCL2L1
BCL2L11
BCR
BDH1
BGN
BHLHE40
BHLHE41
BID
BIRC2
BIRC3
BLM
BLMH
BNIP2
BRAF
BRCA2
BRIP1
BRPF3
BSG
BTRC
BUB3
C1GALT1
C1S
C4BPB
CAB39
CACNB2
CALM3
CAMK4
CARD11
CARS
CARS2
CASC3
CASP1
CASP2
CASP4
CASP6
CASP8
CAT
CAV1
CBL
CBLB
CBX5
CCAR1
CCBL2
CCL17
CCL2
CCL20
CCL22
CCL3
CCL3L3
CCL4
CCL5
CCL7
CCNB1
CCNC
CCND1
CCND2
CCND3
CCNH
CCNT1
CCNT2
CCR6
CCR7
CCT2
CCT3
CCT5
CCT7
CCT8
CD160
CD2
CD200R1
CD24
CD247
CD28
CD2AP
CD2BP2
CD36
CD3D
CD3E
CD3G
CD4
CD46
CD48
CD58
CD74
CD79A
CD79B
CD81
CD8A
CD8B
CD96
CDC14A
CDC16
CDC25B
CDC26
CDC27
CDC34
CDC40
CDIPT
CDK19
CDK2
CDK5
CDK5RAP2
CDK6
CDKN1A
CDKN1B
CDKN2A
CDKN2B
CDKN2C
CDKN2D
CDT1
CENPK
CENPO
CEP164
CEP192
CEP290
CEP57
CEP63
CEP70
CERK
CERS2
CERS4
CERS5
CERS6
CETN2
CHCHD4
CHKB
CHMP2A
CHMP2B
CHMP4A
CHMP6
CHMP7
CHRNB4
CHST11
CHST15
CHST7
CHSY1
CISH
CKAP5
CKB
CLASP1
CLDN1
CLDN15
CLDN4
CLNS1A
CLTA
CLU
CMPK1
CNOT2
CNOT4
CNOT6
CNOT8
CNPY3
CNTRL
COASY
COL1A1
COL1A2
COL3A1
COL4A1
COL6A1
COL6A2
COL8A1
COL9A3
COPA
COPB1
COPB2
COPE
COPZ1
COX4I1
COX5A
COX7A2L
COX8A
CP
CPSF1
CPSF3
CPSF6
CPT1A
CRAT
CREB1
CREBBP
CRK
CRKL
CRLS1
CRTAP
CRY1
CS
CSF2
CSF2RB
CSGALNACT1
CSK
CSNK1D
CSNK1E
CSNK1G2
CSNK2A1
CSNK2B
CST3
CTDSP2
CTGF
CTLA4
CTPS2
CTSA
CTSB
CTSC
CTSD
CTSF
CTSH
CTSK
CTSO
CTSS
CUBN
CUL3
CUX1
CXCL1
CXCL10
CXCL13
CXCL2
CXCL3
CXCL5
CXCL6
CXCL9
CXCR3
CXCR4
CXCR6
CXXC1
CYBA
CYC1
CYLD
CYP1B1
CYP2R1
CYP2U1
CYP3A5
CYP46A1
CYP51A1
CYSLTR1
D2HGDH
DAD1
DAGLB
DAPK2
DARS
DARS2
DBF4
DBNL
DBP
DCN
DCP1B
DCP2
DCPS
DCTN1
DCTN2
DCTN3
DCTN5
DCTN6
DDB2
DDIT3
DDOST
DDX11
DDX23
DDX58
DECR1
DEGS1
DEGS2
DGAT1
DGCR8
DGKA
DGKD
DGKE
DGKH
DGKQ
DGUOK
DHCR7
DHPS
DHX38
DHX9
DICER1
DIDO1
DIS3
DLAT
DLC1
DLD
DLG1
DLG3
DLST
DNAJB11
DNAJB9
DNAJC5
DNAJC8
DNM1L
DNM2
DOCK10
DOCK2
DOCK4
DOCK8
DOCK9
DOK2
DOLK
DPM2
DPYSL2
DRAP1
DSP
DTNBP1
DUSP4
DUT
DYNC1H1
DYNC1LI2
DYRK1A
DZIP3
E2F3
E2F5
EARS2
EBF1
EBP
ECHS1
ECI1
ECSIT
ECT2
EDC3
EDEM3
EEA1
EEF1A1
EEF1D
EEF1G
EFTUD2
EGR1
EGR2
EHD2
EHMT2
EIF2AK2
EIF2B1
EIF2B2
EIF2B4
EIF2B5
EIF2S1
EIF2S3
EIF3A
EIF3B
EIF3D
EIF3E
EIF3F
EIF3G
EIF3H
EIF3I
EIF3K
EIF4A2
EIF4A3
EIF4E2
EIF4E3
EIF4EBP1
EIF4G1
EIF4G3
EIF4H
ELL
ELMO1
ELOVL1
ELOVL5
ENO2
ENOPH1
EP300
EPRS
EPS15
ERAP1
ERCC5
ERCC6
EREG
ERN1
ESR1
ESRRA
ETFB
ETFDH
ETHE1
ETNK1
EVL
EXOC1
EXOC2
EXOC3
EXOC4
EXOC5
EXOC6
EXOSC1
EXOSC2
EXOSC3
EXOSC4
EXOSC5
EXOSC8
EXOSC9
EXT1
EXTL3
EZR
F2R
F3
F5
FABP4
FADS1
FAH
FAM13A
FAM13B
FANCM
FAR1
FARSA
FARSB
FASLG
FBXL3
FBXL5
FBXO2
FBXO3
FBXW11
FBXW2
FBXW4
FBXW5
FCER1G
FDFT1
FDPS
FERMT2
FGD3
FGFR1
FGFR1OP2
FHL2
FLAD1
FLNB
FN1
FNTA
FOS
FOXO1
FOXO3
FOXO4
FPGS
FRAT1
FTH1
FTL
FURIN
FUT8
FXYD2
FYB
FYN
G0S2
G3BP2
G6PD
GAB2
GABBR1
GAK
GALNT1
GALNT10
GALNT11
GALNT2
GALT
GAN
GANAB
GAPDH
GARS
GART
GATA3
GBA2
GBF1
GBP2
GBP4
GBP5
GCLC
GCLM
GDA
GDI1
GDI2
GEMIN7
GGCX
GGPS1
GGT1
GINS4
GK
GLB1
GLIPR1
GLRX
GLUL
GM2A
GMIP
GMPPA
GMPPB
GMPR2
GMPS
GNA12
GNA13
GNAI2
GNB5
GNG10
GNG2
GNG4
GNPAT
GOSR2
GOT2
GPAA1
GPAM
GPCPD1
GPD2
GPR132
GPR65
GPX1
GRAP
GRAP2
GRB10
GRHPR
GRK5
GRPEL2
GRSF1
GSK3A
GSN
GSPT2
GSS
GSTM4
GSTO1
GTF2A1
GTF2A2
GTF2E1
GTF2F1
GTF2F2
GTF2H1
GTF3C2
GTF3C4
GUK1
GUSB
GXYLT1
GYG1
GYS1
GZMB
H1F0
H2AFZ
HABP4
HACL1
HADH
HADHA
HADHB
HARS
HAUS2
HBEGF
HCN3
HCST
HDAC1
HDAC3
HDAC4
HDAC5
HDAC7
HDAC9
HECTD3
HERC2
HERC5
HERPUD1
HES1
HGS
HIBCH
HIF1A
HIP1R
HIST1H1C
HIST1H1E
HIST1H2AC
HIST1H2BK
HIST1H4C
HIST2H2AA3
HIST2H2AC
HK1
HK2
HLA-A
HLA-DMA
HLA-DPA1
HLA-DPB1
HLA-DRB1
HLA-DRB3
HLA-F
HMGA1
HMGB2
HMGCL
HMGCS1
HMHA1
HMOX1
HMOX2
HNRNPA1
HNRNPR
HNRNPU
HNRNPUL1
HPRT1
HRAS
HS6ST1
HSD17B1
HSD17B10
HSD17B4
HSD17B7
HSP90AA1
HSP90B1
HSPA5
HSPA8
HSPA9
HSPB1
HSPD1
HUWE1
HYOU1
IARS
IARS2
ICAM2
ICAM3
ICOS
IDH2
IDH3A
