A2M
ABAT
ABCA1
ABCA2
ABCA7
ABCB1
ABCB10
ABCB4
ABCC2
ABCC3
ABCC5
ABCD1
ABCD3
ABCG1
ABHD5
ABL1
ABL2
ABLIM1
ABLIM3
ABR
ACAA1
ACADSB
ACADVL
ACER3
ACLY
ACOX1
ACP5
ACSL1
ACSL3
ACSL4
ACSL5
ACSL6
ACSS2
ACTA2
ACTB
ACTN1
ACTN4
ACTR1A
ACTR1B
ACVR1C
ACVR2A
ADA
ADAM10
ADAM17
ADAR
ADCY7
ADCY9
ADD1
ADHFE1
ADK
ADM
ADRB2
ADSS
AGMAT
AGPAT1
AGPAT2
AGPAT3
AGPAT4
AGPS
AHCTF1
AIM2
AK1
AK5
AKAP10
AKAP13
AKAP5
AKAP9
AKT1
AKT2
AKT3
ALCAM
ALDH1A1
ALDH2
ALDH9A1
ALDOC
ALG11
ALG13
ALG6
ALMS1
AMPD2
AMPD3
ANAPC1
ANAPC13
ANAPC4
ANGPT2
ANK1
ANXA1
AP1G1
AP1M1
AP1S2
AP2A1
AP2S1
AP3B1
AP4B1
AP4E1
APAF1
APBB1IP
APC
APH1B
APOA1
APP
APPL1
AQP3
AQP9
ARAP1
ARAP2
ARAP3
ARCN1
ARF3
ARFGEF2
ARHGAP1
ARHGAP10
ARHGAP11B
ARHGAP12
ARHGAP15
ARHGAP17
ARHGAP18
ARHGAP19
ARHGAP24
ARHGAP25
ARHGAP26
ARHGAP31
ARHGAP35
ARHGAP44
ARHGEF12
ARHGEF18
ARHGEF3
ARHGEF9
ARIH1
ARIH2
ARNTL
ARRB1
ARRB2
ARSA
ARSG
ASAH1
ASB2
ASB8
ASL
ASNS
ATF3
ATF6
ATG12
ATG5
ATG7
ATM
ATP10A
ATP10D
ATP11A
ATP11B
ATP1A3
ATP1B1
ATP1B3
ATP2A2
ATP2A3
ATP6V0B
ATP6V0D1
ATP6V1A
ATP6V1B2
ATP6V1C1
ATP6V1D
ATP6V1E2
ATP6V1H
ATP7A
ATP8A1
ATP8B4
ATP9A
ATP9B
ATR
ATRIP
AURKB
AXIN1
AZIN1
B2M
B3GAT1
B3GAT2
B3GAT3
B3GNT2
B3GNT5
B3GNT7
B3GNT8
B4GALT1
B4GALT4
B4GALT5
BAK1
BBC3
BCL10
BCL2
BCL2L1
BCL2L11
BHLHE40
BHLHE41
BID
BIRC2
BIRC3
BIRC5
BLK
BLNK
BLOC1S1
BLOC1S3
BMP1
BNIP2
BRAF
BRCA1
BRCA2
BSG
BTK
C1GALT1
C1QA
C1QB
C1QC
C3AR1
C5AR1
CAB39
CAB39L
CACNA1A
CACNA2D3
CALD1
CALR
CAMK2D
CAMK4
CAMKK1
CAMP
CANX
CAP1
CAPZA1
CAPZA2
CARD11
CASP1
CASP10
CASP2
CASP3
CASP4
CASP7
CASP8
CASP9
CAT
CAV1
CBL
CBLB
CBX5
CCAR1
CCL2
CCL20
CCL28
CCL3
CCL4
CCL5
CCNB1
CCNB2
CCND2
CCND3
CCNH
CCNT1
CCNT2
CCR1
CCR10
CCR2
CCR4
CCR5
CCR6
CCR7
CD14
CD151
CD160
CD180
CD19
CD2
CD200R1
CD226
CD247
CD274
CD28
CD2AP
CD2BP2
CD36
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD44
CD46
CD47
CD55
CD58
CD63
CD72
CD74
CD79A
CD79B
CD81
CD86
CD8A
CD8B
CD9
CD96
CDA
CDC14A
CDC20
CDC25B
CDC34
CDC40
CDK1
CDK19
CDK6
CDKN1A
CDKN1B
CDKN2A
CDKN2C
CDKN2D
CDS2
CDT1
CEBPB
CEBPD
CENPA
CENPK
CENPM
CEP135
CEP164
CEP192
CEP250
CEP290
CEPT1
CERK
CERS2
CERS4
CERS5
CERS6
CETP
CFD
CFLAR
CHKB
CHMP2B
CHMP4B
CHMP5
CHMP7
CHN1
CHN2
CHPF
CHPF2
CHPT1
CHRNE
CHST11
CHST12
CHST15
CHST2
CHST7
CHSY1
CHUK
CIITA
CISH
CKAP5
CKB
CKS1B
CLASP1
CLDN5
CLIP1
CLOCK
CLTC
CLU
CNDP2
CNOT2
CNOT4
CNOT6
CNPY3
CNR2
CNTRL
COL19A1
COL4A3BP
COL6A1
COL6A2
COMT
COPA
COPB1
COX17
CPD
CPSF7
CPT1A
CR1
CREB1
CREBBP
CROT
CRTAM
CRTAP
CS
CSAD
CSF2RA
CSF2RB
CSGALNACT1
CSGALNACT2
CSNK1D
CSNK1E
CSNK1G2
CST3
CTDSP2
CTGF
CTLA4
CTNNA1
CTNNB1
CTNND1
CTSA
CTSB
CTSC
CTSD
CTSF
CTSH
CTSK
CTSO
CTSS
CTSZ
CUBN
CUL2
CUL3
CUL5
CUX1
CX3CR1
CXCL1
CXCL10
CXCL16
CXCL2
CXCL3
CXCL5
CXCR3
CXCR4
CXCR5
CXCR6
CYB5R3
CYBA
CYBB
CYBRD1
CYLD
CYP1B1
CYP27A1
CYP2R1
CYP3A5
CYP51A1
CYSLTR1
DAB2
DAGLB
DAPK2
DAPK3
DBF4
DBT
DCP1A
DCP2
DCTN1
DCTN4
DCTN5
DDB1
DDB2
DDIT3
DDX23
DDX58
DDX6
DEGS2
DFFA
DGAT1
DGAT2
DGKA
DGKD
DGKE
DGKH
DGKQ
DHFR
DHX9
DIDO1
DIS3
DLG1
DLG3
DLL1
DNAJB11
DNAJB9
DNAJC3
DNAJC5
DNASE2
DNM1L
DNM2
DOCK10
DOCK2
DOCK5
DOCK8
DOCK9
DOK1
DOK2
DPM2
DPYD
DPYSL2
DSE
DTNBP1
DTX2
DTX3L
DTX4
DUSP3
DUSP4
DUSP6
DUSP7
DUT
DYNC1H1
DYNC1I2
DYNC1LI2
DYNC2H1
DYNLL1
DYNLL2
DYRK1A
E2F3
E2F4
E2F5
EBF1
EBP
EDEM1
EDEM3
EEA1
EGR1
EGR2
EHD1
EIF2AK2
EIF2AK3
EIF2B4
EIF2B5
EIF3A
EIF4A3
EIF4E
EIF4E3
EIF4EBP1
EIF4G3
EIF5A2
ELL
ELMO1
ELOVL5
ELOVL6
ELOVL7
ENO3
EP300
EPN1
EPS15
EPS15L1
ERAP1
ERBB2
ERBB3
ERCC3
EREG
ERN1
ESAM
ESR2
ESRRA
ETF1
ETFA
ETNK1
EVL
EXOC1
EXOC2
EXOC3
EXOC4
EXOC5
EXOC6
EXOSC6
EXT1
EXTL3
EZR
F11R
F13A1
F2R
F5
F8
FAM13A
FAM13B
FAM153A
FANCA
FANCB
FANCC
FANCM
FAR1
FAR2
FARP2
FAS
FASLG
FASN
FBP1
FBXL5
FBXO3
FBXO44
FBXO6
FBXW11
FBXW4
FBXW5
FBXW7
FCER1G
FCGR1A
FCGR1B
FCGR2B
FCGR3A
FDFT1
FDPS
FEN1
FERMT2
FES
FFAR2
FGD2
FGD3
FGD4
FGFR1
FGR
FIG4
FKBP1A
FLVCR1
FN1
FOS
FOXO1
FOXO3
FPR1
FPR2
FRAT1
FRAT2
FRS2
FTH1
FTL
FURIN
FUT8
