A2M
AARS
AASDHPPT
AATF
ABAT
ABCA3
ABCA7
ABCB1
ABCC1
ABCG1
ABL2
ABLIM1
ACAA1
ACACA
ACADSB
ACADVL
ACD
ACIN1
ACLY
ACO2
ACOX1
ACP5
ACSL3
ACSL5
ACSS1
ACTB
ACTN4
ACTR1A
ACTR1B
ADAM10
ADAM17
ADAR
ADARB1
ADCY7
ADD1
ADI1
ADK
ADRBK1
ADSL
ADSS
AGL
AGPAT3
AGPAT5
AGPS
AHCTF1
AIM2
AIMP2
AK1
AKAP1
AKAP13
AKAP5
AKAP9
AKR1B1
AKT1
AKT3
ALDH18A1
ALDOA
ALG1
ALG13
ALG2
ALG3
ALG5
ALG6
ALG8
ALG9
AMD1
AMPD2
AMPD3
AMY2B
ANAPC1
ANAPC11
ANAPC13
ANAPC5
ANAPC7
ANGPT2
ANK3
ANP32A
ANXA1
AP1G1
AP1S2
AP2A2
AP2B1
AP2M1
AP2S1
AP3B1
AP3M1
AP3S1
AP4B1
AP4E1
APAF1
APBB1IP
APC
APEX1
APH1A
APH1B
APOBEC3G
APPL1
APRT
AQP3
ARAP2
ARCN1
ARF1
ARF3
ARFGEF2
ARHGAP1
ARHGAP12
ARHGAP15
ARHGAP19
ARHGAP25
ARHGAP26
ARHGAP30
ARHGAP35
ARHGAP4
ARHGDIA
ARHGDIB
ARHGEF1
ARHGEF2
ARHGEF3
ARHGEF6
ARHGEF9
ARIH2
ARNTL
ARNTL2
ARRB2
ARSA
ASAH1
ASB1
ASB6
ASB7
ASNS
ATF1
ATF2
ATF4
ATG12
ATG7
ATIC
ATM
ATP10A
ATP11A
ATP11B
ATP1A1
ATP1B3
ATP2A2
ATP2A3
ATP2C1
ATP5B
ATP5C1
ATP5D
ATP5F1
ATP5G1
ATP5H
ATP5I
ATP5J
ATP5J2
ATP5O
ATP6V0B
ATP6V0D1
ATP6V1A
ATP6V1B2
ATP6V1C1
ATP6V1E1
ATP6V1F
ATP6V1H
ATP8A1
ATP9A
ATP9B
